file_name,signal_mean,signal_std,signal_skew,signal_kurtosis,zcr_mean,zcr_std,rms_mean,rms_std,tempo,spectral_centroid_mean,spectral_centroid_std,spectral_bandwidth2_mean,spectral_bandwidth2_std,spectral_bandwidth3_mean,spectral_bandwidth3_std,spectral_bandwidth4_mean,spectral_bandwidth4_std,spectral_contrast_1_mean,spectral_contrast_2_mean,spectral_contrast_3_mean,spectral_contrast_4_mean,spectral_contrast_5_mean,spectral_contrast_6_mean,spectral_contrast_7_mean,spectral_contrast_1_std,spectral_contrast_2_std,spectral_contrast_3_std,spectral_contrast_4_std,spectral_contrast_5_std,spectral_contrast_6_std,spectral_contrast_7_std,spectral_rolloff_mean,spectral_rolloff_std,mfccs_1_mean,mfccs_2_mean,mfccs_3_mean,mfccs_4_mean,mfccs_5_mean,mfccs_6_mean,mfccs_7_mean,mfccs_8_mean,mfccs_9_mean,mfccs_10_mean,mfccs_11_mean,mfccs_12_mean,mfccs_13_mean,mfccs_14_mean,mfccs_15_mean,mfccs_16_mean,mfccs_17_mean,mfccs_18_mean,mfccs_19_mean,mfccs_20_mean,mfccs_1_std,mfccs_2_std,mfccs_3_std,mfccs_4_std,mfccs_5_std,mfccs_6_std,mfccs_7_std,mfccs_8_std,mfccs_9_std,mfccs_10_std,mfccs_11_std,mfccs_12_std,mfccs_13_std,mfccs_14_std,mfccs_15_std,mfccs_16_std,mfccs_17_std,mfccs_18_std,mfccs_19_std,mfccs_20_std,chroma_stft_1_mean,chroma_stft_2_mean,chroma_stft_3_mean,chroma_stft_4_mean,chroma_stft_5_mean,chroma_stft_6_mean,chroma_stft_7_mean,chroma_stft_8_mean,chroma_stft_9_mean,chroma_stft_10_mean,chroma_stft_11_mean,chroma_stft_12_mean,chroma_stft_1_std,chroma_stft_2_std,chroma_stft_3_std,chroma_stft_4_std,chroma_stft_5_std,chroma_stft_6_std,chroma_stft_7_std,chroma_stft_8_std,chroma_stft_9_std,chroma_stft_10_std,chroma_stft_11_std,chroma_stft_12_std
Sodom - Sodom - Genocide - Thrash Metal - clipped.wav,0.192,0.238,0.894,-0.183,0.115,0.025,0.236,0.032,117.454,2444.034,390.192,2298.188,261.232,2689.057,265.069,3086.222,264.753,19.421,13.151,16.321,15.74,15.91,20.558,56.752,5.674,3.73,3.987,3.049,2.083,4.401,5.365,4944.67,732.625,-9.862,81.502,-10.75,63.556,-5.782,14.803,0.928,9.521,-1.624,1.606,0.406,13.656,-3.645,6.327,-1.972,3.54,-1.222,6.494,2.061,-0.392,22.542,20.957,16.215,14.569,13.112,9.373,10.267,9.302,7.625,7.114,6.82,7.026,7.132,6.617,6.318,5.724,5.609,5.59,6.237,5.363,0.443,0.562,0.698,0.553,0.502,0.518,0.524,0.484,0.577,0.666,0.59,0.462,0.211,0.233,0.278,0.206,0.232,0.235,0.246,0.249,0.239,0.256,0.238,0.213
Sodom - Sodom - Hunting Season (2024 Remaster) (Official Audio) - Thrash Metal - clipped.wav,0.188,0.237,1.066,0.128,0.14,0.03,0.234,0.035,123.047,2770.471,346.005,2502.502,205.448,2928.206,186.571,3334.815,170.108,19.595,12.913,15.362,14.872,15.378,15.607,50.245,4.655,3.425,3.429,2.577,1.837,1.427,2.773,5513.208,622.458,13.456,70.582,-11.141,42.23,-5.683,13.018,3.383,12.869,0.067,1.658,-1.947,3.552,-3.265,2.737,1.575,5.482,-3.434,3.769,2.276,0.655,20.49,15.026,13.695,13.049,10.386,6.636,8.048,7.191,6.324,5.996,5.902,6.263,6.235,5.558,5.242,5.305,4.518,4.802,5.288,4.826,0.698,0.552,0.494,0.492,0.488,0.45,0.423,0.482,0.647,0.689,0.549,0.575,0.275,0.225,0.234,0.24,0.243,0.244,0.236,0.243,0.259,0.242,0.225,0.231
Sodom - Sodom - Marines - Thrash Metal - clipped.wav,0.235,0.289,0.788,-0.355,0.12,0.034,0.287,0.034,135.999,2647.569,404.989,2380.458,231.717,2781.899,233.461,3174.277,237.808,19.701,13.535,17.014,15.802,15.814,21.279,54.586,5.396,3.719,4.164,2.783,1.941,7.034,5.239,5199.269,693.813,9.626,65.839,-15.851,59.673,4.95,20.031,7.016,13.569,1.712,2.628,2.681,12.782,-2.885,5.902,-2.507,4.663,-1.873,4.999,0.059,-0.986,24.872,21.015,15.658,13.806,12.431,10.168,10.729,9.657,8.973,7.117,6.335,6.696,6.62,7.253,6.388,5.561,5.424,6.173,5.629,5.351,0.559,0.685,0.675,0.604,0.541,0.523,0.509,0.531,0.655,0.712,0.579,0.535,0.224,0.275,0.251,0.228,0.213,0.217,0.219,0.218,0.243,0.258,0.204,0.198
Sodom - Sodom - Minejumper - Thrash Metal - clipped.wav,0.168,0.215,1.162,0.321,0.151,0.038,0.212,0.034,112.347,3067.814,405.788,2700.992,190.826,3078.374,163.387,3429.452,132.804,18.847,13.059,15.269,14.315,15.729,15.348,48.207,5.283,3.271,3.456,2.481,1.943,1.378,2.724,6047.763,699.793,-11.469,52.598,7.254,54.705,2.128,16.974,1.657,9.967,1.889,2.883,5.347,8.449,-3.973,4.063,-3.692,2.633,-3.428,4.553,-4.069,-1.927,22.083,14.42,14.528,12.392,8.896,8.511,8.741,6.583,6.94,6.507,6.105,5.632,5.758,5.354,5.477,5.129,4.639,4.931,4.769,4.567,0.56,0.5,0.541,0.681,0.645,0.539,0.547,0.579,0.563,0.523,0.573,0.63,0.238,0.233,0.227,0.277,0.237,0.211,0.22,0.235,0.252,0.232,0.227,0.237
Sodom - Sodom - Napalm In The Morning - Thrash Metal - clipped.wav,0.195,0.24,0.856,-0.272,0.087,0.03,0.237,0.042,99.384,2550.004,417.547,2543.69,210.463,2977.038,181.672,3405.001,150.371,19.952,13.201,16.332,14.381,15.649,16.506,47.421,5.026,3.889,3.711,2.364,2.005,1.679,2.379,5271.56,701.44,-31.547,66.967,2.597,63.645,6.984,15.786,6.514,9.038,2.489,1.131,5.172,12.822,-2.621,4.596,-1.911,4.013,-0.244,7.116,4.115,1.418,24.067,15.298,13.272,10.446,6.941,6.534,6.088,5.455,5.632,4.919,4.969,5.428,4.73,4.512,4.42,4.25,4.508,4.382,4.615,4.229,0.39,0.488,0.679,0.585,0.427,0.385,0.441,0.488,0.611,0.708,0.566,0.434,0.214,0.227,0.302,0.25,0.195,0.199,0.212,0.273,0.247,0.268,0.227,0.199
Sodom - Sodom - Reincarnation (2024 Remaster) (Official Audio) - Thrash Metal - clipped.wav,0.158,0.2,1.133,0.255,0.128,0.046,0.197,0.035,117.454,2790.769,464.564,2668.72,231.364,3110.868,201.631,3519.659,188.285,18.914,12.696,15.09,13.938,15.211,16.08,50.136,4.209,3.545,3.497,2.308,1.966,1.672,2.179,5861.99,892.159,-14.027,68.659,0.574,43.596,6.253,8.733,-0.12,9.998,-3.023,5.046,-2.36,3.689,-4.914,-1.185,-1.223,4.065,-4.718,2.429,-0.147,0.223,24.957,17.431,11.728,10.886,10.217,8.793,7.824,6.867,7.49,5.756,5.81,5.435,4.79,5.568,5.121,4.515,4.388,4.506,4.605,4.496,0.619,0.397,0.385,0.406,0.555,0.509,0.393,0.425,0.538,0.553,0.622,0.708,0.254,0.208,0.231,0.206,0.288,0.257,0.228,0.259,0.29,0.268,0.242,0.269
Sodom - Sodom-Cannon Fodder - Thrash Metal - clipped.wav,0.122,0.155,1.109,0.203,0.158,0.037,0.153,0.023,151.999,3039.837,331.392,2619.126,161.588,3015.554,153.274,3386.396,141.57,17.621,12.859,15.175,13.866,14.966,17.511,47.763,4.926,3.226,3.453,2.398,1.813,3.422,2.795,5747.265,590.119,-37.191,53.348,-1.035,56.585,2.721,15.579,3.738,6.107,3.705,-0.415,3.815,10.185,-4.855,4.009,-4.495,2.746,-2.018,4.269,1.446,-0.353,20.075,11.575,9.695,8.507,7.504,6.109,6.037,6.491,5.378,5.391,5.174,4.681,4.835,5.061,4.988,4.463,4.196,4.389,4.51,4.214,0.488,0.546,0.691,0.667,0.569,0.536,0.581,0.597,0.574,0.637,0.602,0.527,0.224,0.22,0.261,0.232,0.223,0.218,0.225,0.263,0.219,0.244,0.226,0.218
Sodom - Spiritual Demise - Thrash Metal - clipped.wav,0.183,0.233,1.144,0.29,0.159,0.036,0.23,0.035,112.347,2998.107,389.69,2638.4,226.275,3059.1,196.601,3443.696,164.627,17.582,12.497,14.802,13.789,14.999,16.301,48.981,4.711,3.518,3.324,2.555,1.738,1.784,3.038,5910.689,848.646,9.959,56.548,-4.398,52.156,9.161,13.125,5.546,10.017,-0.164,3.348,-2.199,7.037,-4.572,0.903,-6.119,3.309,-2.991,0.137,-0.274,3.146,25.773,12.747,11.723,11.153,8.355,5.527,8.097,7.133,6.202,5.627,5.315,5.044,5.322,5.473,4.822,4.394,4.237,5.232,4.504,4.294,0.506,0.653,0.766,0.676,0.529,0.523,0.571,0.671,0.653,0.557,0.438,0.431,0.213,0.214,0.218,0.211,0.195,0.238,0.243,0.249,0.215,0.231,0.208,0.201
Soundgarden - Fell On Black Days - Grunge - clipped.wav,0.212,0.268,1.05,0.121,0.079,0.045,0.262,0.055,99.384,2239.539,705.383,2450.8,389.939,2959.111,347.968,3445.8,301.672,21.549,16.861,18.738,16.759,16.209,17.182,50.238,4.502,3.829,4.738,3.817,2.387,2.31,3.329,4893.137,1342.974,-41.652,83.236,-3.76,50.262,16.76,16.001,3.302,10.055,-3.422,6.662,-1.952,2.909,-4.711,-0.725,0.672,-1.465,-6.867,-0.03,-4.067,-0.197,45.353,25.294,17.779,14.302,9.636,7.425,7.397,6.953,6.98,7.302,5.248,4.918,4.847,4.934,5.525,4.788,4.321,5.15,4.638,4.757,0.498,0.372,0.304,0.326,0.468,0.394,0.373,0.378,0.3,0.334,0.38,0.568,0.348,0.264,0.221,0.232,0.329,0.284,0.267,0.312,0.255,0.307,0.242,0.315
Soundgarden - Soundgarden - Black Hole Sun - Grunge - clipped.wav,0.177,0.229,1.285,0.601,0.126,0.073,0.219,0.067,103.359,2728.216,817.211,2633.907,361.837,3070.974,311.544,3479.813,272.8,19.811,16.489,18.635,17.87,17.135,17.049,50.818,4.749,4.699,4.327,3.297,2.998,2.439,3.185,5883.089,1337.642,-26.202,75.37,0.204,30.514,1.595,12.507,-0.327,18.505,-0.062,8.97,-4.474,3.248,-1.967,-1.537,1.599,0.412,-3.539,0.498,-4.747,-1.316,60.933,28.024,19.534,15.019,10.436,8.332,7.938,8.493,7.868,8.199,7.249,8.259,9.242,7.17,6.732,6.255,6.561,5.918,6.277,7.337,0.379,0.389,0.342,0.388,0.296,0.304,0.298,0.371,0.425,0.423,0.554,0.499,0.274,0.325,0.271,0.308,0.224,0.27,0.241,0.284,0.301,0.28,0.324,0.302
