file_name,signal_mean,signal_std,signal_skew,signal_kurtosis,zcr_mean,zcr_std,rms_mean,rms_std,tempo,spectral_centroid_mean,spectral_centroid_std,spectral_bandwidth2_mean,spectral_bandwidth2_std,spectral_bandwidth3_mean,spectral_bandwidth3_std,spectral_bandwidth4_mean,spectral_bandwidth4_std,spectral_contrast_1_mean,spectral_contrast_2_mean,spectral_contrast_3_mean,spectral_contrast_4_mean,spectral_contrast_5_mean,spectral_contrast_6_mean,spectral_contrast_7_mean,spectral_contrast_1_std,spectral_contrast_2_std,spectral_contrast_3_std,spectral_contrast_4_std,spectral_contrast_5_std,spectral_contrast_6_std,spectral_contrast_7_std,spectral_rolloff_mean,spectral_rolloff_std,mfccs_1_mean,mfccs_2_mean,mfccs_3_mean,mfccs_4_mean,mfccs_5_mean,mfccs_6_mean,mfccs_7_mean,mfccs_8_mean,mfccs_9_mean,mfccs_10_mean,mfccs_11_mean,mfccs_12_mean,mfccs_13_mean,mfccs_14_mean,mfccs_15_mean,mfccs_16_mean,mfccs_17_mean,mfccs_18_mean,mfccs_19_mean,mfccs_20_mean,mfccs_1_std,mfccs_2_std,mfccs_3_std,mfccs_4_std,mfccs_5_std,mfccs_6_std,mfccs_7_std,mfccs_8_std,mfccs_9_std,mfccs_10_std,mfccs_11_std,mfccs_12_std,mfccs_13_std,mfccs_14_std,mfccs_15_std,mfccs_16_std,mfccs_17_std,mfccs_18_std,mfccs_19_std,mfccs_20_std,chroma_stft_1_mean,chroma_stft_2_mean,chroma_stft_3_mean,chroma_stft_4_mean,chroma_stft_5_mean,chroma_stft_6_mean,chroma_stft_7_mean,chroma_stft_8_mean,chroma_stft_9_mean,chroma_stft_10_mean,chroma_stft_11_mean,chroma_stft_12_mean,chroma_stft_1_std,chroma_stft_2_std,chroma_stft_3_std,chroma_stft_4_std,chroma_stft_5_std,chroma_stft_6_std,chroma_stft_7_std,chroma_stft_8_std,chroma_stft_9_std,chroma_stft_10_std,chroma_stft_11_std,chroma_stft_12_std
ACDC - ACDC - Back In Black (Official 4K Video) - Hard Rock - clipped.wav,0.151,0.206,1.646,1.673,0.165,0.05,0.194,0.069,92.285,2819.619,550.782,2525.571,335.159,3038.423,274.074,3497.795,229.681,19.479,13.323,16.281,16.872,16.747,17.088,47.759,5.195,3.812,4.023,3.219,2.333,2.374,3.312,5633.458,1314.612,-14.557,68.625,-29.831,14.758,7.474,-0.334,-3.339,8.781,-3.811,3.725,-2.613,5.479,-4.552,-0.858,-1.03,1.667,-3.263,-0.371,-4.516,1.71,52.699,24.938,22.211,16.548,11.665,11.689,11.462,9.946,9.534,8.204,8.92,8.198,8.165,7.426,8.699,8.028,7.167,6.802,7.202,6.6,0.426,0.443,0.508,0.475,0.493,0.441,0.451,0.408,0.364,0.405,0.407,0.47,0.267,0.267,0.312,0.274,0.299,0.289,0.283,0.271,0.247,0.278,0.276,0.302
ACDC - ACDC - Hells Bells (Official 4K Video) - Hard Rock - clipped.wav,0.176,0.225,1.258,0.491,0.114,0.035,0.22,0.047,103.359,2386.871,535.829,2445.806,429.192,2984.126,390.242,3485.95,340.517,21.849,15.073,18.135,18.531,16.966,18.62,50.086,4.418,3.93,4.177,3.463,2.537,2.832,3.449,4980.962,1460.589,-11.327,91.486,-16.848,33.257,14.814,1.698,0.292,3.866,-2.985,10.969,1.305,8.485,-6.799,-1.686,-1.769,4.441,-2.346,2.223,-0.594,2.158,35.744,21.615,20.213,12.891,7.795,7.072,7.161,6.847,6.254,6.615,5.826,5.405,5.819,5.519,5.928,5.447,5.152,4.486,4.215,4.522,0.308,0.341,0.409,0.344,0.563,0.314,0.353,0.505,0.474,0.721,0.388,0.304,0.24,0.189,0.279,0.171,0.294,0.176,0.238,0.312,0.18,0.297,0.16,0.203
"ACDC - ACDC - Highway to Hell (Live At River Plate, December 2009) - Hard Rock - clipped.wav",0.136,0.178,1.576,1.259,0.152,0.052,0.172,0.045,123.047,2804.508,570.096,2641.311,380.767,3160.519,310.711,3630.452,251.839,19.168,12.625,16.312,16.332,17.962,16.756,48.612,4.535,3.659,3.979,3.076,3.067,1.986,2.359,5760.115,1330.762,-22.873,72.697,-19.438,12.494,4.424,2.957,-6.249,-3.067,4.568,0.705,-3.634,-0.695,-5.774,-0.561,-6.52,3.426,-3.918,0.257,-2.879,1.117,31.367,17.954,23.102,15.431,10.802,10.091,10.448,10.283,9.332,9.516,8.462,7.574,7.825,9.486,7.912,6.951,8.322,8.55,6.443,6.392,0.378,0.361,0.359,0.404,0.351,0.408,0.43,0.403,0.54,0.43,0.392,0.409,0.276,0.279,0.282,0.298,0.26,0.317,0.309,0.267,0.326,0.284,0.294,0.316
ACDC - ACDC - It's a Long Way to the Top (If You Wanna Rock 'N' Roll) (Audio) - Hard Rock - clipped.wav,0.19,0.244,1.21,0.416,0.136,0.049,0.238,0.053,135.999,2328.275,550.458,2194.268,418.078,2695.757,411.556,3184.243,392.002,19.499,15.39,19.492,19.26,18.477,19.48,49.83,4.549,4.029,4.12,3.338,3.282,3.165,3.244,4559.589,1202.33,-6.258,94.364,-28.749,35.359,-1.098,7.327,1.688,5.51,1.902,6.225,-3.49,7.554,-2.293,1.556,0.106,6.69,-2.023,5.224,-5.35,-6.7,47.467,28.672,26.491,15.141,9.993,8.782,7.886,7.562,7.252,6.649,6.935,6.134,6.318,6.643,7.414,7.098,6.388,5.938,6.55,7.822,0.382,0.302,0.428,0.37,0.307,0.403,0.268,0.323,0.428,0.463,0.747,0.403,0.264,0.209,0.274,0.293,0.244,0.263,0.206,0.223,0.273,0.22,0.291,0.199
ACDC - ACDC - Moneytalks (Official HD Video) - Hard Rock - clipped.wav,0.194,0.251,1.33,0.665,0.12,0.042,0.244,0.059,123.047,2507.324,550.471,2451.11,420.342,2937.086,376.647,3396.426,336.881,20.562,13.8,16.581,16.395,16.934,15.894,50.148,4.661,3.748,3.721,2.785,2.235,1.943,2.823,5200.885,1313.224,-1.689,84.739,-13.511,36.313,6.721,9.783,-4.511,12.331,2.718,3.046,4.132,7.356,-2.606,-1.283,-0.594,4.058,-1.623,6.081,0.497,-0.077,49.951,24.268,25.422,16.228,10.903,8.993,7.799,7.96,6.874,6.125,7.047,6.01,5.471,5.96,5.26,5.485,4.974,6.373,5.462,4.83,0.296,0.355,0.637,0.494,0.423,0.403,0.535,0.73,0.507,0.465,0.341,0.338,0.234,0.167,0.27,0.233,0.263,0.22,0.226,0.287,0.223,0.256,0.224,0.24
ACDC - ACDC - Shoot To Thrill (Iron Man 2 Version) - Hard Rock - clipped.wav,0.058,0.075,1.29,0.552,0.117,0.033,0.073,0.017,143.555,2516.144,388.016,2578.467,267.736,3141.585,205.848,3646.688,162.582,20.988,13.159,14.912,14.377,15.543,16.637,48.057,5.084,3.484,3.316,2.508,2.128,1.786,2.633,5250.993,1136.272,-105.349,84.32,-21.136,14.304,10.818,5.268,5.803,12.399,2.52,10.084,3.839,6.701,-1.61,3.309,-0.53,3.608,-1.658,2.91,-0.17,2.631,20.799,14.363,14.492,8.248,7.042,7.093,5.833,5.562,5.515,5.338,4.951,4.799,5.029,4.666,5.076,4.967,4.528,4.617,4.542,4.401,0.514,0.521,0.553,0.553,0.628,0.484,0.576,0.612,0.508,0.565,0.453,0.501,0.256,0.228,0.278,0.225,0.251,0.231,0.257,0.265,0.226,0.266,0.212,0.228
ACDC - ACDC - T.N.T. - Hard Rock - clipped.wav,0.157,0.208,1.294,0.788,0.124,0.061,0.197,0.067,129.199,2212.446,758.837,2085.984,488.824,2559.634,459.307,3031.877,421.125,19.314,16.758,19.525,18.707,19.282,19.835,51.074,4.522,4.766,5.338,5.205,4.07,3.838,3.179,4303.741,1444.576,-73.157,92.021,-24.087,52.532,6.549,13.255,0.22,7.08,4.271,6.933,-1.701,5.575,0.418,5.883,4.439,4.277,-5.144,3.832,-3.839,-1.864,90.402,37.911,29.809,13.886,14.492,11.682,12.99,9.488,8.717,9.261,8.194,8.954,8.338,9.618,8.715,8.694,8.461,7.972,8.858,8.283,0.305,0.311,0.336,0.37,0.451,0.361,0.308,0.342,0.394,0.476,0.513,0.551,0.234,0.273,0.282,0.305,0.348,0.276,0.227,0.297,0.277,0.329,0.303,0.33
ACDC - ACDC - Thunderstruck (Official Video) - Hard Rock - clipped.wav,0.153,0.199,1.444,0.945,0.112,0.041,0.194,0.045,135.999,2620.923,520.862,2628.953,319.491,3130.118,293.61,3591.876,269.808,20.015,14.669,16.828,16.597,18.062,17.067,47.961,4.508,4.178,4.105,3.433,2.808,2.38,2.97,5572.25,1077.074,-38.742,71.945,-12.082,33.951,16.589,15.376,1.877,11.208,7.219,2.722,4.918,6.254,-0.59,4.684,0.505,6.511,-2.38,4.889,0.299,-2.525,50.063,17.901,17.962,19.749,11.628,10.767,8.975,8.53,6.97,7.325,7.576,7.368,6.946,7.341,7.133,6.844,6.878,6.691,5.625,5.636,0.68,0.453,0.37,0.404,0.248,0.245,0.401,0.307,0.322,0.426,0.627,0.882,0.224,0.228,0.243,0.261,0.187,0.179,0.24,0.204,0.223,0.238,0.21,0.215
ACDC - ACDC - Who Made Who (Official HD Video) - Hard Rock - clipped.wav,0.179,0.232,1.285,0.615,0.146,0.043,0.227,0.052,123.047,2635.716,471.895,2381.87,329.35,2844.366,304.135,3282.491,283.232,21.223,14.704,16.842,16.766,16.263,17.118,48.238,4.496,3.73,3.675,2.977,2.094,2.455,3.382,5166.977,1040.478,-0.442,75.834,-21.548,43.069,5.976,10.068,-3.176,6.648,-8.515,3.736,2.89,2.27,-4.025,2.674,-0.394,-0.648,-5.491,2.314,0.22,-2.482,40.013,20.636,19.952,12.315,9.181,9.228,8.578,8.342,7.324,6.624,7.688,6.924,6.091,6.022,5.952,6.087,6.058,5.34,5.777,5.187,0.712,0.477,0.464,0.489,0.573,0.449,0.448,0.752,0.494,0.377,0.323,0.444,0.275,0.2,0.237,0.258,0.275,0.25,0.203,0.248,0.206,0.221,0.175,0.197
ACDC - ACDC - You Shook Me All Night Long (Official 4K Video) - Hard Rock - clipped.wav,0.17,0.22,1.289,0.644,0.146,0.054,0.213,0.054,129.199,2726.623,690.271,2537.534,407.088,3070.473,325.496,3548.654,256.187,20.845,14.436,17.089,17.899,17.101,17.752,47.502,4.751,3.916,4.204,3.562,2.479,2.429,2.96,5432.925,1549.752,-10.299,74.052,-23.441,19.022,13.767,4.772,1.75,6.301,-1.51,8.265,2.026,6.546,-4.42,1.033,-1.934,3.646,-0.93,1.197,2.009,2.511,46.823,27.127,24.285,15.37,11.179,10.613,10.472,8.463,8.079,8.072,7.666,6.718,5.753,6.746,7.194,7.358,7.532,7.518,7.178,6.683,0.414,0.376,0.483,0.383,0.419,0.388,0.536,0.566,0.359,0.43,0.386,0.441,0.29,0.234,0.271,0.237,0.287,0.264,0.295,0.32,0.232,0.303,0.272,0.303
Aerosmith - Aerosmith - Amazing (Official Music Video) - Hard Rock - clipped.wav,0.16,0.208,1.454,0.953,0.128,0.055,0.201,0.055,135.999,2759.267,666.173,2617.474,334.508,3039.288,286.848,3437.845,250.581,20.83,15.707,18.703,18.859,18.766,16.72,50.365,4.659,3.761,4.192,3.442,3.37,2.409,3.447,5862.115,1144.711,-30.25,71.685,-5.306,32.206,3.737,23.422,-2.105,11.409,4.242,6.415,2.069,2.673,-0.401,3.053,-3.302,0.57,-3.562,5.145,-2.447,4.988,51.136,23.578,14.043,11.243,10.285,10.001,9.072,7.159,7.565,7.823,7.252,8.112,6.915,6.056,6.16,5.903,6.67,6.391,6.614,6.893,0.577,0.367,0.364,0.312,0.438,0.384,0.367,0.479,0.366,0.388,0.327,0.438,0.34,0.212,0.286,0.225,0.296,0.238,0.242,0.351,0.257,0.295,0.226,0.308
Aerosmith - Aerosmith - Crazy (Official Music Video) - Hard Rock - clipped.wav,0.165,0.212,1.364,0.722,0.143,0.056,0.206,0.05,151.999,2863.76,610.124,2589.429,254.055,2992.056,219.722,3371.489,210.491,21.655,15.113,18.479,19.593,18.837,17.929,51.562,4.649,3.567,3.842,3.697,2.753,2.244,3.612,5864.715,1005.739,-22.41,65.888,-5.799,39.558,-1.882,16.188,-0.793,15.202,-1.036,6.902,-3.154,4.298,-0.89,0.05,-1.433,2.215,-0.876,1.16,-4.123,-3.048,35.026,20.102,15.426,10.781,10.36,10.055,9.599,11.091,7.827,7.409,7.912,8.245,8.728,7.745,7.142,7.139,6.715,7.574,6.312,6.858,0.309,0.511,0.479,0.404,0.448,0.332,0.397,0.322,0.456,0.564,0.345,0.353,0.208,0.289,0.322,0.25,0.29,0.223,0.295,0.251,0.284,0.343,0.23,0.267
Aerosmith - Aerosmith - Cryin' (Official Music Video) - Hard Rock - clipped.wav,0.206,0.258,1.017,0.021,0.147,0.062,0.254,0.042,107.666,3054.575,728.645,2582.069,283.193,2974.605,243.708,3337.34,214.75,22.714,15.572,17.853,17.814,18.001,17.465,50.804,4.436,4.14,4.155,3.148,2.739,2.475,3.263,5973.656,1128.131,-1.126,54.893,-15.379,37.611,4.274,23.838,2.701,16.936,4.411,8.261,-1.034,8.092,-1.917,0.769,-2.782,-0.381,-3.713,2.5,-3.252,0.58,32.688,23.759,14.763,11.469,9.685,8.846,8.564,6.723,6.948,7.087,6.454,6.466,6.366,6.947,7.231,6.35,5.712,7.665,5.933,7.199,0.426,0.504,0.519,0.445,0.514,0.421,0.425,0.428,0.462,0.544,0.433,0.441,0.261,0.287,0.295,0.232,0.29,0.25,0.245,0.301,0.253,0.318,0.251,0.259
Aerosmith - Aerosmith - Dream On (Audio) - Hard Rock - clipped.wav,0.083,0.111,1.694,1.689,0.092,0.028,0.104,0.038,151.999,1836.986,433.035,1971.165,308.205,2558.536,280.725,3134.29,249.549,21.748,16.337,20.719,20.407,20.66,20.627,49.456,4.575,4.364,4.378,3.403,3.451,2.689,3.247,3616.42,949.147,-124.554,113.261,-31.389,31.124,3.198,7.542,-4.336,1.649,0.538,9.193,-4.548,2.499,-2.079,-6.563,-0.315,-2.93,-6.671,-0.965,1.903,-1.785,51.195,21.421,15.674,10.999,11.034,8.455,9.425,6.534,7.686,7.24,6.038,6.968,7.135,6.128,7.422,6.348,7.084,8.131,7.331,6.915,0.557,0.334,0.294,0.402,0.349,0.456,0.243,0.282,0.308,0.2,0.299,0.328,0.367,0.256,0.236,0.338,0.261,0.355,0.212,0.242,0.298,0.175,0.282,0.246
Aerosmith - Aerosmith - Fly Away From Here - Hard Rock - clipped.wav,0.133,0.169,1.098,0.192,0.121,0.031,0.166,0.027,143.555,2538.989,347.96,2556.12,234.73,3050.547,202.086,3514.961,184.993,20.412,15.071,17.894,18.69,18.38,16.228,50.928,4.466,3.494,3.729,3.311,2.759,1.716,2.898,5539.125,769.43,-29.064,83.702,-9.133,18.776,-1.953,12.696,-6.654,7.42,-1.489,-1.308,-4.035,0.188,-5.047,-3.049,-3.17,-2.019,-6.331,0.224,-3.205,0.851,22.608,13.009,16.374,8.025,8.215,7.095,7.192,6.915,6.418,6.659,6.385,6.143,5.896,7.11,5.711,6.08,6.028,6.621,6.539,6.382,0.335,0.395,0.24,0.327,0.498,0.275,0.352,0.318,0.476,0.363,0.287,0.376,0.226,0.32,0.19,0.264,0.344,0.19,0.316,0.225,0.329,0.278,0.209,0.305
Aerosmith - Aerosmith - Hole In My Soul - Hard Rock - clipped.wav,0.204,0.26,1.157,0.307,0.141,0.041,0.255,0.053,151.999,2836.039,467.291,2646.677,226.991,3080.408,192.043,3484.208,185.585,21.79,14.995,17.977,18.313,17.905,16.868,50.362,4.415,3.878,4.007,3.373,2.496,2.18,3.375,5982.639,845.414,14.159,71.829,-11.66,21.43,1.295,15.521,-5.808,11.581,0.112,3.991,-2.327,4.786,-1.918,0.5,0.757,2.604,-1.997,6.166,-3.228,3.118,26.391,15.16,12.374,9.22,12.485,8.668,9.422,7.315,7.244,7.169,8.871,6.631,7.252,6.983,7.292,6.645,6.722,6.749,6.155,7.559,0.39,0.314,0.429,0.382,0.361,0.301,0.354,0.508,0.45,0.481,0.477,0.376,0.277,0.226,0.298,0.271,0.27,0.232,0.272,0.307,0.29,0.313,0.304,0.239
Aerosmith - Aerosmith - I Don't Want to Miss a Thing (Official HD Video) - Hard Rock - clipped.wav,0.174,0.222,1.066,0.156,0.115,0.049,0.216,0.048,117.454,2311.911,708.083,2388.819,409.646,2936.105,335.372,3441.111,278.856,20.418,15.397,20.181,20.358,20.771,17.904,50.266,4.508,3.79,4.323,3.581,3.1,2.673,3.411,4835.596,1510.482,-27.538,96.986,-9.742,21.791,4.144,10.485,-9.264,7.927,2.028,4.026,-1.064,3.145,-2.97,0.568,-1.171,1.858,-4.758,6.348,-3.297,1.491,52.394,28.148,17.041,11.116,12.126,9.423,10.523,8.224,8.157,8.477,8.442,7.804,7.116,7.524,6.823,6.86,6.629,7.008,8.339,7.829,0.194,0.291,0.438,0.341,0.526,0.299,0.337,0.289,0.32,0.479,0.248,0.365,0.172,0.249,0.343,0.226,0.345,0.221,0.308,0.267,0.233,0.332,0.183,0.317
Aerosmith - Aerosmith - Jaded - Hard Rock - clipped.wav,0.147,0.187,1.1,0.212,0.126,0.04,0.183,0.036,117.454,2504.305,506.192,2430.092,264.119,2916.358,228.6,3379.36,200.06,20.696,14.701,18.576,17.566,18.285,17.391,50.057,4.729,3.99,4.622,3.171,2.941,2.502,2.91,5172.769,954.656,-27.346,81.351,-15.727,36.082,3.703,11.047,-5.41,7.002,-2.568,-1.732,-3.543,3.08,-5.779,-1.803,-2.109,-0.862,-6.032,0.384,-4.634,-1.235,45.198,21.617,13.219,11.725,9.111,9.588,10.588,6.693,7.537,8.149,7.198,7.904,7.551,6.149,6.886,6.338,6.03,5.708,6.972,5.918,0.315,0.473,0.441,0.437,0.52,0.32,0.322,0.341,0.574,0.53,0.311,0.35,0.2,0.299,0.295,0.242,0.323,0.219,0.278,0.232,0.314,0.301,0.207,0.246
Aerosmith - Aerosmith - Livin' On The Edge (Official Music Video) - Hard Rock - clipped.wav,0.135,0.174,1.548,1.138,0.148,0.065,0.169,0.041,83.354,3163.989,624.242,2809.614,223.163,3208.597,203.181,3573.033,201.658,21.343,15.357,17.157,17.476,17.558,15.857,48.593,4.274,3.899,3.991,3.249,2.57,1.632,3.054,6482.836,810.926,-34.498,52.674,-1.74,30.609,5.616,20.267,2.597,11.809,0.556,4.081,1.572,4.844,2.172,0.576,-4.63,-1.613,-9.864,-1.653,-3.823,-4.55,35.76,18.507,16.014,12.532,10.107,7.347,10.165,6.783,7.511,7.414,6.33,6.78,5.912,5.446,5.281,5.341,5.288,5.638,5.459,5.789,0.381,0.396,0.556,0.387,0.326,0.289,0.406,0.35,0.444,0.663,0.571,0.493,0.257,0.235,0.326,0.229,0.244,0.214,0.272,0.222,0.234,0.316,0.244,0.304
Aerosmith - Aerosmith - Pink - Hard Rock - clipped.wav,0.121,0.155,1.19,0.399,0.093,0.05,0.151,0.031,86.133,2121.927,686.33,2407.036,351.807,2967.023,277.453,3487.912,241.634,20.35,15.07,18.136,17.595,18.641,17.296,49.983,4.725,3.931,4.543,3.594,2.979,2.449,3.175,4624.422,1473.42,-85.401,93.495,2.414,38.595,11.045,16.685,-2.399,10.853,2.015,2.423,-4.194,1.25,-3.632,-0.116,-2.707,-1.086,-6.584,-0.583,-5.795,-1.247,57.242,23.282,21.655,13.269,11.604,9.233,11.875,8.49,9.321,7.791,8.232,8.617,8.745,6.954,7.677,6.99,6.375,6.812,6.625,6.393,0.447,0.415,0.519,0.417,0.371,0.368,0.392,0.548,0.427,0.405,0.379,0.407,0.316,0.249,0.309,0.264,0.259,0.267,0.255,0.324,0.252,0.296,0.279,0.254
AGNOSTIC FRONT - A Mi Manera (Official Music Video) - Agnostic Front - HardcorePunk - clipped.wav,0.214,0.275,1.082,0.239,0.13,0.036,0.266,0.069,112.347,2599.202,419.759,2448.481,322.308,2937.484,311.007,3399.789,288.211,18.318,13.139,16.832,15.253,15.038,17.425,48.53,4.282,3.39,4.039,2.808,2.158,2.221,3.092,5192.727,1016.332,13.725,75.903,-21.124,38.52,7.675,8.677,6.628,8.932,2.297,8.998,0.561,5.941,-3.171,-3.274,-4.304,-1.182,-5.638,1.872,0.827,5.321,33.275,17.599,17.827,12.48,12.249,9.184,9.631,7.6,7.017,7.941,6.734,6.349,5.99,6.265,5.919,6.52,6.124,6.743,7.248,6.616,0.512,0.458,0.484,0.465,0.487,0.507,0.524,0.531,0.495,0.501,0.502,0.473,0.29,0.245,0.273,0.271,0.273,0.281,0.284,0.276,0.274,0.281,0.291,0.252
AGNOSTIC FRONT - Addiction (Official Music Video) - Agnostic Front - HardcorePunk - clipped.wav,0.199,0.257,1.31,0.615,0.139,0.05,0.252,0.046,123.047,2710.235,570.893,2549.485,295.365,3034.161,239.28,3485.27,179.884,18.309,12.463,15.464,14.833,14.706,16.532,48.133,4.534,3.594,3.638,2.764,1.949,1.899,2.516,5471.575,1139.343,19.076,74.816,-12.357,37.378,5.568,2.602,3.041,9.256,-1.229,5.572,1.44,7.603,-1.526,1.074,-2.802,4.88,-2.869,0.631,0.236,1.684,23.456,18.681,14.152,11.539,10.32,8.197,8.132,8.131,6.997,6.219,5.828,6.102,5.308,5.309,5.882,6.579,5.985,5.982,6.117,5.797,0.463,0.485,0.529,0.558,0.515,0.482,0.483,0.51,0.531,0.563,0.554,0.468,0.259,0.26,0.279,0.277,0.257,0.263,0.266,0.275,0.281,0.304,0.293,0.255
AGNOSTIC FRONT - For My Family (Official Music Video) - Agnostic Front - HardcorePunk - clipped.wav,0.105,0.136,1.344,0.702,0.153,0.045,0.134,0.024,123.047,2844.19,476.981,2617.454,242.345,3078.884,191.478,3502.308,140.424,17.984,12.776,15.925,14.966,14.797,16.145,48.791,4.402,3.727,3.744,2.805,1.846,1.627,2.629,5813.873,972.99,-35.388,69.205,-10.3,36.4,4.673,3.275,1.106,8.497,-3.62,5.692,1.644,8.58,-2.488,-0.38,-4.927,4.467,-1.762,3.748,2.205,1.916,20.42,15.779,12.326,10.473,8.827,6.737,7.316,7.311,6.766,6.381,6.121,5.944,5.475,5.022,5.35,5.672,5.672,5.634,5.924,5.607,0.472,0.444,0.446,0.468,0.517,0.467,0.508,0.637,0.574,0.531,0.533,0.464,0.281,0.242,0.255,0.258,0.283,0.255,0.256,0.285,0.267,0.284,0.294,0.256
AGNOSTIC FRONT - Gotta Go - Agnostic Front - HardcorePunk - clipped.wav,0.223,0.279,0.945,-0.086,0.159,0.04,0.277,0.033,103.359,2914.893,367.48,2563.748,200.389,3049.963,176.076,3490.255,151.644,20.539,13.243,16.611,15.105,14.786,16.728,47.179,4.407,3.535,4.078,2.526,1.903,1.641,2.62,5664.516,794.078,37.034,61.125,-20.959,36.769,9.077,4.358,3.152,7.456,2.634,6.856,4.077,2.093,-2.051,2.186,-5.587,-0.278,-5.209,-1.617,-0.047,2.642,18.449,13.168,11.479,10.332,8.239,6.864,8.4,6.996,6.222,7.396,7.225,6.085,5.446,5.685,5.334,5.954,6.298,6.152,6.44,5.748,0.36,0.399,0.468,0.54,0.675,0.575,0.55,0.53,0.513,0.454,0.355,0.382,0.227,0.245,0.279,0.273,0.285,0.264,0.277,0.266,0.263,0.267,0.224,0.243
AGNOSTIC FRONT - My Life My Way (Official Music Video) - Agnostic Front - HardcorePunk - clipped.wav,0.228,0.286,0.966,-0.04,0.121,0.031,0.282,0.044,123.047,2591.967,396.325,2515.693,247.574,3015.816,222.184,3484.579,196.845,17.979,13.583,16.634,15.279,14.879,17.064,47.873,4.243,3.455,3.909,2.972,1.975,1.812,3.091,5237.152,893.107,20.685,74.63,-14.232,40.617,8.993,8.327,7.385,8.759,1.032,6.575,1.915,6.766,-1.37,-0.683,-2.047,1.248,-5.735,1.167,-1.527,3.705,19.225,15.362,12.118,10.232,9.29,8.511,8.141,6.644,6.337,6.379,6.74,6.694,6.152,5.793,5.354,6.231,6.2,6.288,6.405,5.849,0.622,0.628,0.48,0.413,0.456,0.522,0.498,0.48,0.514,0.435,0.404,0.475,0.26,0.263,0.234,0.222,0.264,0.299,0.294,0.266,0.271,0.252,0.271,0.248
AGNOSTIC FRONT - Never Walk Alone (Official Music Video) - Agnostic Front - HardcorePunk - clipped.wav,0.25,0.312,0.925,-0.127,0.115,0.033,0.309,0.043,112.347,2590.645,477.802,2535.719,313.5,3046.423,271.445,3517.968,231.434,19.596,14.026,16.291,15.593,15.957,17.302,48.901,4.414,3.822,4.016,3.177,2.341,1.874,3.261,5283.918,1121.969,23.805,73.963,-16.409,36.493,14.643,10.683,7.531,14.368,2.289,5.24,-0.057,7.678,-1.128,-0.937,-4.338,3.828,-4.57,2.304,2.1,-0.363,26.335,17.502,15.778,12.164,12.138,6.693,8.073,7.134,6.873,7.178,7.928,6.079,6.356,6.9,6.549,6.924,7.002,7.142,7.077,6.762,0.477,0.492,0.548,0.488,0.424,0.421,0.476,0.556,0.481,0.454,0.516,0.48,0.299,0.259,0.279,0.278,0.225,0.256,0.262,0.301,0.253,0.244,0.299,0.267
AGNOSTIC FRONT - Old New York (Official Music Video) - Agnostic Front - HardcorePunk - clipped.wav,0.262,0.325,0.845,-0.249,0.107,0.035,0.323,0.036,103.359,2431.191,546.642,2405.867,368.965,2911.249,319.157,3391.625,257.607,18.805,13.473,16.023,15.135,15.615,16.825,49.256,4.56,3.441,3.973,2.912,2.094,1.915,2.999,4953.637,1283.253,22.379,81.883,-20.332,41.248,14.027,12.241,5.835,14.002,1.355,2.361,-2.441,6.561,-0.852,-0.249,-5.053,1.613,-6.128,3.209,4.268,2.075,27.889,19.879,14.859,11.646,10.682,7.605,7.719,7.492,7.38,6.209,6.111,6.063,5.926,5.278,5.647,6.511,6.073,6.474,6.511,6.04,0.432,0.538,0.532,0.492,0.448,0.505,0.574,0.549,0.529,0.482,0.524,0.478,0.239,0.283,0.273,0.249,0.23,0.267,0.277,0.302,0.267,0.233,0.297,0.276
AGNOSTIC FRONT - Spray Painted Walls (Official Lyric Video) - Agnostic Front - HardcorePunk - clipped.wav,0.273,0.341,0.912,-0.141,0.13,0.038,0.338,0.047,95.703,2829.678,465.871,2653.517,275.137,3110.393,233.566,3530.923,186.937,20.067,13.076,15.373,14.716,14.786,16.118,48.649,4.547,3.412,3.698,2.76,1.929,1.821,2.832,5843.881,1041.894,41.87,64.68,-11.465,40.245,13.255,13.28,7.321,11.267,-0.448,5.262,-1.029,5.97,0.359,3.578,0.016,3.337,-1.69,1.566,-1.417,0.972,19.419,14.513,13.048,9.471,8.822,7.098,6.815,6.837,6.682,6.516,6.071,6.376,5.172,5.643,5.006,5.53,4.938,4.915,4.806,4.615,0.476,0.59,0.68,0.498,0.431,0.448,0.539,0.617,0.701,0.699,0.605,0.496,0.211,0.232,0.257,0.205,0.201,0.199,0.229,0.243,0.226,0.235,0.252,0.208
Agnostic Front - The Eliminator 2020 - Official Video - Agnostic Front - HardcorePunk - clipped.wav,0.236,0.306,1.171,0.393,0.148,0.045,0.293,0.086,172.266,3004.223,517.394,2660.376,442.606,3087.448,406.194,3479.605,351.997,19.271,13.743,15.072,14.203,14.947,17.565,48.557,4.308,3.783,3.492,2.614,1.881,3.016,3.164,6046.713,1335.992,23.211,59.739,-8.578,46.308,9.468,6.327,8.183,9.636,-3.62,4.545,-0.959,0.382,-4.26,3.577,-5.195,1.822,-4.746,0.04,-0.2,0.93,29.899,17.801,25.24,9.408,11.925,7.803,7.339,8.535,6.625,7.06,6.864,5.989,7.245,5.098,6.103,5.734,4.567,6.48,4.571,6.841,0.415,0.38,0.461,0.57,0.553,0.605,0.593,0.715,0.664,0.557,0.527,0.456,0.217,0.199,0.234,0.252,0.22,0.248,0.206,0.264,0.236,0.229,0.277,0.224
